Date,MMM,AOS,ABT,ABBV,ACN,ADBE,AMD,AES,AFL,A
2020-09-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-09-14,1.3781089,2.214026,0.94556403,0.88071454,1.729351,3.088999,2.0434966,0.84270525,1.8686461,0.8316427
2020-09-15,-1.1219344,1.8652232,0.84208477,0.4641461,0.5736277,2.4202032,1.3222064,-0.89136404,-1.0250906,0.95554674
2020-09-16,1.7650325,1.890134,-0.8256754,-1.2429929,-0.32472888,-4.3542933,-2.8759618,1.5176984,1.4172813,-0.4483457
2020-09-17,1.6931102,2.7632856,0.9082372,-0.16707678,-1.085954,-0.35714543,-0.14349152,2.048731,1.101854,-0.3202559
2020-09-18,-1.641715,0.11282695,0.18750885,0.53553873,-0.27025363,-1.42315,-2.1162674,1.9533402,0.47846973,-0.22088477
2020-09-21,-4.8304424,-2.5544715,-0.8515849,-1.1319546,-0.96112674,1.730302,4.0170856,-2.2884529,-3.677247,-1.2577984
2020-09-22,0.6073369,1.5034672,-1.0854119,-0.55000323,1.2868173,2.342104,-0.30793622,-0.6535993,-0.10986245,0.49934322
2020-09-23,-1.7432477,-1.6331192,-1.9751905,-1.6478546,-2.6464648,-3.3670208,-3.8223858,-2.6315765,-2.0621393,-1.7339272
2020-09-24,0.57049316,2.316604,-1.7619051,-1.4115168,-7.036634,-0.57824385,1.4585793,1.1261196,0.14036845,-0.58818215
2020-09-25,-0.093500026,-1.584906,2.5069351,0.37248245,0.097941756,2.5894296,2.9543629,0.16704169,0.16821244,1.4012935
2020-09-28,0.8672816,2.166413,0.9569894,1.2176683,3.7972295,1.8195863,1.819121,-0.6670313,1.6792675,1.8630358
2020-09-29,-1.1443707,0.8256683,0.7181156,-0.44683707,0.5835367,0.16785261,2.8812194,0.7274715,-0.853293,0.7134952
2020-09-30,0.23151904,-1.7308772,3.4604044,0.8056128,0.8523758,0.22479843,0.26904884,0.6111145,0.9161522,0.7184207
2020-10-01,-0.86776894,1.4962139,-0.17458646,-0.51375383,-0.3584286,1.85144,3.5004303,-1.049147,0.11004379,0.27739128
2020-10-02,0.98871917,-0.11196375,-1.969808,-1.1705264,-1.2345674,-4.10803,-3.6059363,3.459826,1.3465284,-1.195415
