Date,ALUM,COBALT,IRON,LEAD,LITHIUM,NICKEL,PALLAD,STEEL,URN,ZINK,ZINN
2011-01-01,2.2567868,1.2970209,0.0,-2.1899939,0.0,9.418833,1.9544363,8.633089,15.942038,-1.2673736,12.625694
2011-02-01,2.4157524,2.2023082,0.0,1.622057,0.0,6.1355352,-2.606833,0.3973484,-6.25,4.1821957,6.9742084
2011-03-01,1.9025445,-7.5419664,0.0,5.6697965,0.0,-9.801555,-3.729707,6.860161,-12.59259,-6.2003193,-2.1608114
2011-04-01,4.4579864,0.27099848,0.0,-7.079977,0.0,2.7357936,3.1319141,-12.345677,-6.3559294,-4.279661,1.4217973
2011-05-01,-2.9272318,0.2567649,0.0,0.28921366,0.0,-12.662941,-1.6415179,-4.2253494,4.072404,0.2655983,-13.987541
2011-06-01,-5.711603,-5.647665,0.0,5.976534,0.0,-0.10660887,-2.5097847,7.3529363,-10.173911,3.5871983,-6.012315
2011-07-01,4.324007,3.114283,0.0,-1.6608775,0.0,5.6819677,8.862257,-3.4246564,0.3872156,6.7661166,8.770716
2011-08-01,-6.7997336,-1.3854265,0.0,-1.5267193,0.0,-10.142994,-4.6691713,8.510637,-5.207324,-8.562875,-14.068592
2011-09-01,-8.966083,-8.555782,0.0,-23.129845,0.0,-20.768715,-22.08476,-7.843137,5.9002995,-18.511242,-16.693466
2011-10-01,-0.84421635,-12.690115,0.0,4.979205,0.0,11.063826,6.0255647,-2.836877,-0.096058846,7.1524262,8.878553
2011-11-01,-4.1548433,10.413515,0.0,1.3448596,0.0,-10.600257,-6.3051996,3.64964,-0.48077106,3.550005,-5.000001
2011-12-01,-5.3890824,-4.475045,0.0,-3.554505,0.0,6.914282,7.4754,0.7042289,0.9661794,-10.912603,-8.133972
2012-01-01,10.565853,9.743082,0.0,8.746934,2.6315808,11.464453,4.5149565,-1.6783237,0.0,14.146339,26.796877
2012-02-01,3.917575,-4.682273,0.0,-2.3497522,0.0,-7.672024,3.1304717,-1.8492162,-0.38277507,0.28489828,-2.957487
2012-03-01,-8.727389,4.449761,0.0,-5.506712,0.0,-7.4266434,-7.5709343,0.0,-2.4975955,-5.303031,-3.4920633
2012-04-01,-0.39393306,-6.8560066,0.0,5.1909924,2.5641084,0.39271116,4.6467066,-2.89855,1.9704461,3.1499982,-0.109648705
2012-05-01,-5.920422,-0.81967115,0.0,-10.567969,3.7500024,-9.304274,-10.4462385,-2.9850721,-1.449275,-9.306836,-13.9407215
2012-06-01,-4.063696,-7.438016,0.0,-3.1233728,3.6144614,3.0807137,-4.7459545,-3.8461566,-0.49019456,0.3206849,-4.2091846
2012-07-01,-1.2216151,6.285715,0.0,3.1703353,0.0,-5.170351,1.1491299,2.4000049,-2.4630547,-1.8646777,-3.5952091
2012-08-01,1.6668916,-0.8736551,0.0,2.34375,0.0,0.53577423,6.47732,-3.125,-3.0303001,-0.05428791,7.182324
2012-09-01,10.220814,0.84745884,0.0,16.030539,0.0,15.830719,1.8632054,-1.7741919,-4.89583,13.851166,12.371135
2012-10-01,-8.541268,-14.117652,0.0,-9.517545,0.0,-12.340999,-5.1512537,6.7323446,-9.090912,-10.782444,-8.600914
