"Datum","Zuletzt","Eröffn.","Hoch","Tief","Vol.","+/- %"
"15.09.2024","1.122,28","1.065,25","1.125,78","1.065,00","5,68K","4,79%"
"08.09.2024","1.071,00","905,25","1.081,53","900,50","7,93K","19,20%"
"01.09.2024","898,50","965,00","976,53","896,50","6,09K","-6,68%"
"25.08.2024","962,80","949,00","993,00","934,50","4,82K","2,15%"
"18.08.2024","942,50","940,00","959,00","903,50","27,86K","-0,12%"
"11.08.2024","943,60","895,50","946,50","890,50","22,95K","5,27%"
"04.08.2024","896,40","884,00","923,50","813,50","33,11K","1,58%"
"28.07.2024","882,50","888,00","927,00","868,00","19,92K","-0,33%"
"21.07.2024","885,40","905,00","917,50","891,00","0,00K","-1,58%"
"14.07.2024","899,60","951,50","951,50","919,00","0,00K","-7,22%"
"07.07.2024","969,60","1.008,00","1.008,00","970,00","0,01K","-6,73%"
"30.06.2024","1.039,60","970,00","1.068,00","967,50","24,66K","6,31%"
"23.06.2024","977,90","971,00","984,00","911,00","9,72K","6,35%"
"16.06.2024","919,50","919,50","919,50","919,50","","2,94%"
"09.06.2024","893,20","893,20","893,20","893,20","","-2,71%"
"02.06.2024","918,10","918,10","918,10","918,10","","0,57%"
"26.05.2024","912,90","977,50","1.014,00","910,50","13,94K","-5,89%"
"19.05.2024","970,00","1.011,00","1.048,00","963,50","30,17K","-4,04%"
"12.05.2024","1.010,80","985,00","1.026,00","959,00","28,79K","2,96%"
"05.05.2024","981,70","954,50","1.006,00","942,50","23,30K","3,51%"
"28.04.2024","948,40","959,50","986,00","922,00","23,92K","-0,94%"
"21.04.2024","957,40","996,00","1.024,50","978,50","0,01K","-6,64%"
"14.04.2024","1.025,50","1.001,50","1.043,50","1.001,50","0,01K","-3,13%"
"07.04.2024","1.058,60","1.093,50","1.093,50","1.030,50","0,23K","5,08%"
"31.03.2024","1.007,40","1.023,00","1.051,50","991,00","16,25K","-1,38%"
"24.03.2024","1.021,50","991,00","1.035,00","973,00","11,25K","2,32%"
"17.03.2024","998,30","1.090,50","1.091,50","982,00","16,69K","-7,73%"
"10.03.2024","1.081,90","1.017,50","1.105,00","1.017,50","0,01K","6,39%"
"03.03.2024","1.016,90","943,50","1.065,50","943,50","0,03K","6,25%"
"25.02.2024","957,10","978,00","978,00","908,50","6,68K","-3,18%"
"18.02.2024","988,50","954,00","999,50","928,50","26,33K","3,75%"
"11.02.2024","952,80","862,50","982,00","851,50","27,11K","9,61%"
"04.02.2024","869,30","950,00","968,00","859,50","19,19K","-8,40%"
"28.01.2024","949,00","948,00","1.000,00","932,00","10,01K","-1,29%"
"21.01.2024","961,40","951,50","979,50","915,75","","1,34%"
