"Datum","Zuletzt","Eröffn.","Hoch","Tief","Vol.","+/- %"
"08.09.2024","31.805,00","31.100,00","31.850,00","30.850,00","","2,52%"
"01.09.2024","31.024,00","31.500,00","31.400,00","30.200,00","","-4,09%"
"25.08.2024","32.346,00","33.050,00","32.950,00","32.400,00","","-1,72%"
"18.08.2024","32.912,00","32.500,00","32.800,00","32.475,00","","3,16%"
"11.08.2024","31.903,00","31.900,00","31.990,00","31.550,00","","1,91%"
"04.08.2024","31.304,00","29.000,00","31.850,00","28.950,00","","3,70%"
"28.07.2024","30.188,00","29.550,00","30.300,00","28.750,00","","2,09%"
"21.07.2024","29.571,00","30.600,00","30.350,00","29.110,00","","-4,76%"
"14.07.2024","31.050,00","33.800,00","33.765,00","30.800,00","4,10K","-7,85%"
"07.07.2024","33.695,00","34.400,00","35.300,00","33.955,00","2,65K","-0,53%"
"30.06.2024","33.874,00","33.050,00","33.575,00","33.050,00","4,97K","3,47%"
"23.06.2024","32.739,00","32.850,00","33.175,00","31.850,00","7,91K","0,21%"
"16.06.2024","32.671,00","31.950,00","32.875,00","31.900,00","6,12K","1,09%"
"09.06.2024","32.318,00","31.850,00","33.350,00","31.850,00","7,65K","2,75%"
"02.06.2024","31.452,00","32.850,00","32.800,00","31.650,00","8,78K","-4,81%"
"26.05.2024","33.042,00","34.110,00","34.075,00","33.300,00","6,59K","-0,56%"
"19.05.2024","33.229,00","34.800,00","34.795,00","33.105,00","7,49K","-2,98%"
"12.05.2024","34.251,00","32.600,00","34.250,00","32.600,00","8,11K","6,72%"
"05.05.2024","32.093,00","32.500,00","32.650,00","32.150,00","5,97K","0,34%"
"28.04.2024","31.983,00","32.600,00","32.500,00","31.050,00","5,33K","-1,32%"
"21.04.2024","32.411,00","35.000,00","34.950,00","31.805,00","10,27K","-8,91%"
"14.04.2024","35.582,00","32.750,00","35.275,00","32.150,00","10,73K","9,98%"
"07.04.2024","32.353,00","29.400,00","32.800,00","29.400,00","17,29K","12,36%"
"31.03.2024","28.795,00","27.850,00","28.850,00","27.850,00","7,01K","4,90%"
"24.03.2024","27.451,00","27.675,00","27.625,00","27.350,00","5,69K","-1,00%"
"17.03.2024","27.727,00","28.725,00","28.700,00","27.050,00","11,85K","-3,30%"
"10.03.2024","28.674,00","27.650,00","28.500,00","27.650,00","9,00K","3,78%"
"03.03.2024","27.630,00","26.850,00","27.650,00","26.700,00","10,16K","4,31%"
"25.02.2024","26.489,00","26.300,00","26.520,00","26.300,00","5,98K","0,41%"
"18.02.2024","26.382,00","26.650,00","26.625,00","26.200,00","8,70K","-2,18%"
"11.02.2024","26.970,00","26.900,00","27.650,00","26.850,00","7,22K","2,29%"
"04.02.2024","26.367,00","25.150,00","26.225,00","25.150,00","6,56K","3,20%"
"28.01.2024","25.550,00","26.700,00","26.525,00","25.800,00","7,17K","-4,18%"
"21.01.2024","26.664,00","25.600,00","26.720,00","25.600,00","10,03K","5,40%"
"14.01.2024","25.298,00","24.880,00","25.650,00","24.800,00","8,05K","2,71%"
"07.01.2024","24.631,00","24.600,00","24.695,00","24.350,00","5,53K","0,04%"
"31.12.2023","24.622,00","25.450,00","25.425,00","24.450,00","4,95K","-3,12%"
