"Date","Price","Open","High","Low","Vol.","Change %"
"09/15/2024","24,081.00","24,081.00","24,081.00","24,081.00","","0.00%"
"09/08/2024","24,081.00","24,081.00","24,081.00","24,081.00","","0.00%"
"09/01/2024","24,081.00","24,081.00","24,081.00","24,081.00","","0.00%"
"08/25/2024","24,081.00","24,081.00","24,081.00","24,081.00","","0.00%"
"08/18/2024","24,081.00","24,531.00","24,531.00","24,531.00","","-1.83%"
"08/11/2024","24,531.00","26,131.00","26,131.00","26,131.00","","-6.12%"
"08/04/2024","26,131.00","26,131.00","26,131.00","26,131.00","","0.00%"
"07/28/2024","26,131.00","26,268.00","26,268.00","26,268.00","","-0.59%"
"07/21/2024","26,285.00","26,298.00","26,298.00","26,298.00","","-0.11%"
"07/14/2024","26,315.00","26,178.00","26,178.00","26,178.00","","0.44%"
"07/07/2024","26,200.00","26,743.50","26,743.50","26,743.50","0.29K","-2.11%"
"06/30/2024","26,765.00","26,780.00","26,780.00","26,780.00","","-0.14%"
"06/23/2024","26,801.50","26,818.00","26,818.00","26,818.00","","-0.14%"
"06/16/2024","26,840.00","26,810.00","26,810.00","26,810.00","","0.03%"
"06/09/2024","26,832.00","26,848.50","26,848.50","26,848.50","","-0.14%"
"06/02/2024","26,870.00","26,886.00","26,886.00","26,886.00","","-0.14%"
"05/26/2024","26,908.00","26,918.00","26,918.00","26,918.00","","-0.14%"
"05/19/2024","26,945.00","26,950.00","26,950.00","26,950.00","","-2.73%"
"05/12/2024","27,702.00","27,714.50","27,714.50","27,714.50","","-0.11%"
"05/05/2024","27,732.00","27,732.00","27,732.00","27,732.00","","-0.11%"
"04/28/2024","27,762.00","27,780.00","27,780.00","27,780.00","","-0.11%"
"04/21/2024","27,793.00","27,809.00","27,809.00","27,809.00","","-0.10%"
"04/14/2024","27,822.00","27,715.00","27,715.00","27,715.00","","0.39%"
"04/07/2024","27,715.00","28,437.00","28,437.00","28,437.00","","-2.54%"
"03/31/2024","28,437.00","28,437.00","28,437.00","28,437.00","","0.00%"
"03/24/2024","28,437.00","28,437.00","28,437.00","28,437.00","","0.00%"
"03/17/2024","28,437.00","28,288.00","28,288.00","28,288.00","","0.53%"
"03/10/2024","28,288.00","28,288.00","28,288.00","28,288.00","","0.00%"
"03/03/2024","28,288.00","28,288.00","28,288.00","28,288.00","","0.00%"
"02/25/2024","28,288.00","28,288.00","28,288.00","28,288.00","","0.00%"
"02/18/2024","28,288.00","28,137.00","28,137.00","28,137.00","","0.54%"
"02/11/2024","28,137.00","28,137.00","28,137.00","28,137.00","","0.00%"
"02/04/2024","28,137.00","28,727.00","28,727.00","28,727.00","","-2.14%"
"01/28/2024","28,753.50","28,770.00","28,770.00","28,770.00","","-0.11%"
"01/21/2024","28,786.50","28,808.00","28,808.00","28,808.00","","-0.13%"
"01/14/2024","28,824.00","28,691.50","28,691.50","28,691.50","","0.41%"
"01/07/2024","28,707.25","28,728.00","28,728.00","28,728.00","","-0.13%"
"12/31/2023","28,744.00","28,760.50","28,760.50","28,760.50","","-0.15%"
"12/24/2023","28,787.50","28,792.50","28,792.50","28,792.50","","-0.11%"
"12/17/2023","28,819.00","28,687.50","28,687.50","28,687.50","","0.40%"
"12/10/2023","28,704.00","30,862.00","30,862.00","30,862.00","","-9.14%"
"12/03/2023","31,591.00","33,057.00","33,057.00","33,057.00","","-4.48%"
"11/26/2023","33,073.00","33,088.50","33,088.50","33,088.50","","-0.11%"
"11/19/2023","33,110.00","33,124.50","33,124.50","33,124.50","","-0.10%"
"11/12/2023","33,142.00","33,003.00","33,003.00","33,003.00","","0.37%"
"11/05/2023","33,020.50","33,034.00","33,034.00","33,034.00","","-0.09%"
"10/29/2023","33,051.00","33,063.00","33,063.00","33,063.00","","-0.09%"
"10/22/2023","33,080.00","33,093.00","33,093.00","33,093.00","","-0.09%"
"10/15/2023","33,110.00","32,974.00","32,974.00","32,974.00","","0.35%"
"10/08/2023","32,995.50","33,012.00","33,012.00","33,012.00","","-0.12%"
"10/01/2023","33,033.50","33,044.50","33,044.50","33,044.50","","-0.11%"
"09/24/2023","33,071.00","33,082.00","33,082.00","33,082.00","","-0.11%"
"09/17/2023","33,108.50","32,977.00","32,977.00","32,977.00","","0.36%"
"09/10/2023","32,990.00","33,008.25","33,008.25","33,008.25","","-0.09%"
"09/03/2023","33,021.00","33,038.00","33,038.00","33,038.00","","-0.09%"
"08/27/2023","33,051.00","33,055.50","33,055.50","33,055.50","","-0.09%"
"08/20/2023","33,081.00","33,094.00","33,094.00","33,094.00","","-0.09%"
"08/13/2023","33,111.00","32,975.00","32,975.00","32,975.00","","0.35%"
"08/06/2023","32,996.00","33,012.00","33,012.00","33,012.00","","-0.11%"
"07/30/2023","33,033.00","33,049.50","33,049.50","33,049.50","","-0.11%"
"07/23/2023","33,071.00","33,087.50","33,087.50","33,087.50","","-0.11%"
"07/16/2023","33,109.00","32,977.00","32,977.00","32,977.00","","0.33%"
"07/09/2023","32,999.00","33,015.00","33,015.00","33,015.00","","-0.11%"
"07/02/2023","33,036.00","33,052.50","33,052.50","33,052.50","","-0.11%"
