"Date","Price","Open","High","Low","Vol.","Change %"
"09/08/2024","72,500.00","71,500.00","74,000.00","70,000.00","","0.00%"
"09/01/2024","72,500.00","75,000.00","76,500.00","71,000.00","","-3.33%"
"08/25/2024","75,000.00","74,000.00","76,500.00","72,500.00","","1.35%"
"08/18/2024","74,000.00","73,500.00","76,000.00","72,000.00","","0.68%"
"08/11/2024","73,500.00","76,500.00","78,000.00","72,000.00","","-5.16%"
"08/04/2024","77,500.00","79,500.00","81,000.00","76,000.00","","-2.52%"
"07/28/2024","79,500.00","85,500.00","87,000.00","78,000.00","","-7.02%"
"07/21/2024","85,500.00","85,500.00","87,000.00","84,000.00","","0.00%"
"07/14/2024","85,500.00","88,500.00","90,000.00","84,000.00","","-5.52%"
"07/07/2024","90,500.00","90,500.00","92,000.00","89,000.00","","-1.09%"
"06/30/2024","91,500.00","91,500.00","93,000.00","90,000.00","","0.00%"
"06/23/2024","91,500.00","91,500.00","93,000.00","90,000.00","","-2.14%"
"06/16/2024","93,500.00","97,500.00","99,000.00","92,000.00","","-4.10%"
"06/09/2024","97,500.00","100,500.00","102,000.00","96,000.00","","-3.94%"
"06/02/2024","101,500.00","103,500.00","105,000.00","100,000.00","","-3.79%"
"05/26/2024","105,500.00","105,500.00","107,000.00","104,000.00","","0.00%"
"05/19/2024","105,500.00","105,500.00","107,000.00","104,000.00","","0.00%"
"05/12/2024","105,500.00","108,500.00","110,000.00","104,000.00","","-4.52%"
"05/05/2024","110,500.00","110,500.00","112,000.00","109,000.00","","0.00%"
"04/28/2024","110,500.00","110,500.00","112,000.00","109,000.00","","0.00%"
"04/21/2024","110,500.00","110,500.00","112,000.00","109,000.00","","0.00%"
"04/14/2024","110,500.00","111,500.00","113,000.00","109,000.00","","-0.90%"
"04/07/2024","111,500.00","112,500.00","114,000.00","110,000.00","","1.83%"
"03/31/2024","109,500.00","107,500.00","111,000.00","106,000.00","","1.86%"
"03/24/2024","107,500.00","112,500.00","114,000.00","106,000.00","","-6.11%"
"03/17/2024","114,500.00","115,500.00","117,000.00","113,000.00","","0.88%"
"03/10/2024","113,500.00","110,500.00","118,000.00","109,000.00","","4.61%"
"03/03/2024","108,500.00","108,500.00","110,000.00","107,000.00","","3.83%"
"02/25/2024","104,500.00","95,500.00","106,000.00","94,000.00","","9.42%"
"02/18/2024","95,500.00","97,500.00","99,000.00","94,000.00","","-2.05%"
"02/04/2024","97,500.00","97,500.00","99,000.00","96,000.00","","2.09%"
"01/28/2024","95,500.00","95,500.00","98,000.00","93,000.00","","0.00%"
"01/21/2024","95,500.00","95,500.00","98,000.00","93,000.00","","0.00%"
"01/14/2024","95,500.00","95,500.00","98,000.00","93,000.00","","0.00%"
"01/07/2024","95,500.00","95,500.00","98,000.00","93,000.00","","-1.04%"
"12/31/2023","96,500.00","96,500.00","99,000.00","94,000.00","","0.00%"
