"Date","Price","Open","High","Low","Vol.","Change %"
"09/01/2024","24,081.00","24,081.00","24,081.00","24,081.00","","0.00%"
"08/01/2024","24,081.00","26,131.00","26,131.00","26,131.00","","-8.30%"
"07/01/2024","26,260.00","26,780.00","26,780.00","26,780.00","0.29K","-2.02%"
"06/01/2024","26,801.50","26,886.00","26,886.00","26,886.00","","-0.40%"
"05/01/2024","26,908.00","27,767.00","27,767.00","27,767.00","","-3.12%"
"04/01/2024","27,775.50","28,437.00","28,437.00","28,437.00","","-2.33%"
"03/01/2024","28,437.00","28,288.00","28,288.00","28,288.00","","0.53%"
"02/01/2024","28,288.00","28,759.00","28,759.00","28,759.00","","-1.66%"
"01/01/2024","28,764.50","28,760.50","28,760.50","28,760.50","","-0.08%"
"12/01/2023","28,787.50","33,073.00","33,073.00","33,073.00","","-12.97%"
"11/01/2023","33,078.00","33,055.00","33,055.00","33,055.00","","0.06%"
"10/01/2023","33,059.00","33,044.50","33,044.50","33,044.50","","-0.04%"
"09/01/2023","33,071.00","33,051.00","33,051.00","33,051.00","","0.05%"
"08/01/2023","33,055.50","33,044.00","33,044.00","33,044.00","","0.02%"
"07/01/2023","33,049.50","33,052.50","33,052.50","33,052.50","","-0.07%"
"06/01/2023","33,074.00","29,161.00","29,161.00","29,161.00","","13.40%"
"05/01/2023","29,165.00","34,554.50","34,554.50","34,554.50","","-15.66%"
"04/01/2023","34,582.00","34,563.00","34,563.00","34,563.00","","0.01%"
"03/01/2023","34,579.00","33,806.00","33,806.00","33,806.00","0.02K","2.26%"
"02/01/2023","33,814.50","41,315.00","41,315.00","41,315.00","0.04K","-30.50%"
"01/01/2023","48,652.00","50,072.00","50,072.00","50,072.00","0.01K","-5.70%"
"12/01/2022","51,591.00","51,579.00","51,579.00","51,579.00","0.01K","0.01%"
"11/01/2022","51,584.00","51,572.00","51,572.00","51,572.00","0.01K","0.01%"
"10/01/2022","51,577.50","51,581.00","51,581.00","51,581.00","0.01K","-0.05%"
"09/01/2022","51,603.00","51,591.00","51,591.00","51,591.00","0.01K","0.02%"
"08/01/2022","51,595.00","50,070.00","50,070.00","50,070.00","0.02K","2.99%"
"07/01/2022","50,097.00","65,082.00","65,082.00","65,082.00","0.03K","-28.53%"
"06/01/2022","70,098.00","73,636.00","73,636.00","73,636.00","0.01K","-4.81%"
"05/01/2022","73,640.00","81,707.00","81,707.00","81,707.00","0.01K","-9.94%"
"04/01/2022","81,767.00","81,856.00","81,856.00","81,856.00","0.01K","-0.11%"
"03/01/2022","81,860.00","73,749.00","73,749.00","73,749.00","0.01K","10.97%"
"02/01/2022","73,767.00","70,751.00","70,751.00","70,751.00","0.01K","4.24%"
"01/01/2022","70,764.00","70,214.00","70,214.00","70,214.00","0.01K","0.76%"
"12/01/2021","70,232.00","65,874.00","65,874.00","65,874.00","0.00K","7.18%"
"11/01/2021","65,530.00","56,319.00","56,319.00","56,319.00","0.01K","16.31%"
"10/01/2021","56,340.00","53,014.50","53,014.50","53,014.50","0.02K","6.26%"
"09/01/2021","53,019.00","50,527.00","50,527.00","50,527.00","0.01K","5.78%"
"08/01/2021","50,121.50","52,404.00","52,404.00","52,404.00","0.01K","-4.40%"
"07/01/2021","52,426.00","50,500.00","50,500.00","50,500.00","0.00K","5.66%"
"06/01/2021","49,618.00","43,615.00","43,615.00","43,615.00","0.02K","13.76%"
