"Datum","Zuletzt","Eröffn.","Hoch","Tief","Vol.","+/- %"
"15.09.2024","759,00","752,00","773,00","750,00","0,21K","-1,68%"
"08.09.2024","772,00","760,00","786,00","737,00","0,49K","0,92%"
"01.09.2024","765,00","740,00","780,00","720,00","0,77K","1,46%"
"25.08.2024","754,00","755,00","765,00","750,00","0,25K","0,53%"
"18.08.2024","750,00","686,00","755,00","681,00","3,95K","10,13%"
"11.08.2024","681,00","745,00","745,00","678,00","2,47K","-8,59%"
"04.08.2024","745,00","765,00","772,00","740,00","0,51K","-1,59%"
"28.07.2024","757,00","723,00","788,00","713,00","2,09K","7,38%"
"21.07.2024","705,00","692,00","718,00","675,00","3,25K","2,47%"
"14.07.2024","688,00","739,00","739,00","686,00","1,57K","-5,88%"
"07.07.2024","731,00","744,00","754,00","725,00","1,46K","-2,53%"
"30.06.2024","750,00","765,00","765,00","745,00","0,43K","-0,40%"
"23.06.2024","753,00","700,00","768,00","655,00","1,61K","6,06%"
"16.06.2024","710,00","740,00","745,00","705,00","2,55K","-4,31%"
"09.06.2024","742,00","760,00","761,00","740,00","1,32K","-3,64%"
"02.06.2024","770,00","810,00","810,00","766,00","1,89K","-4,94%"
"26.05.2024","810,00","804,00","823,00","786,00","0,85K","2,40%"
"19.05.2024","791,00","797,00","815,00","785,00","1,76K","-1,49%"
"12.05.2024","803,00","770,00","807,00","761,00","1,42K","3,61%"
"05.05.2024","775,00","815,00","815,00","775,00","0,80K","-5,49%"
"28.04.2024","820,00","830,00","845,00","815,00","0,82K","-1,80%"
"21.04.2024","835,00","809,00","835,00","794,00","0,90K","4,51%"
"14.04.2024","799,00","814,00","829,00","798,00","1,35K","-1,96%"
"07.04.2024","815,00","850,00","850,00","803,00","1,42K","-4,90%"
"31.03.2024","857,00","915,00","921,00","856,00","1,07K","-6,03%"
"24.03.2024","912,00","970,00","1.001,00","905,00","1,21K","-4,40%"
"17.03.2024","954,00","865,00","970,00","861,00","1,98K","11,97%"
"10.03.2024","852,00","885,00","887,00","850,00","0,51K","-3,95%"
"03.03.2024","887,00","810,00","890,00","810,00","1,82K","8,17%"
"25.02.2024","820,00","800,00","833,00","791,00","1,33K","3,40%"
"18.02.2024","793,00","781,00","807,00","770,00","1,93K","0,51%"
"11.02.2024","789,00","791,00","810,00","771,00","1,88K","-1,50%"
"04.02.2024","801,00","833,00","835,00","795,00","1,49K","-3,84%"
"28.01.2024","833,00","821,00","855,00","821,00","1,31K","-0,48%"
"21.01.2024","837,00","838,00","879,00","830,00","1,87K","-0,83%"
