"Datum","Zuletzt","Eröffn.","Hoch","Tief","Vol.","+/- %"
"01.09.2024","2.497,00","2.454,00","2.545,50","2.326,50","","2,04%"
"01.08.2024","2.447,00","2.317,00","2.558,00","2.224,50","","6,83%"
"01.07.2024","2.290,50","2.535,00","2.544,50","2.225,00","1,28M","-9,27%"
"01.06.2024","2.524,50","2.672,00","2.668,00","2.481,00","966,29K","-4,83%"
"01.05.2024","2.652,50","2.572,00","2.740,00","2.529,00","1,47M","2,35%"
"01.04.2024","2.591,50","2.370,00","2.660,00","2.363,00","1,94M","10,89%"
"01.03.2024","2.337,00","2.225,00","2.324,00","2.222,00","1,22M","4,89%"
"01.02.2024","2.228,00","2.251,00","2.253,00","2.179,00","1,15M","-2,28%"
"01.01.2024","2.280,00","2.384,00","2.378,00","2.154,00","1,26M","-4,36%"
"01.12.2023","2.384,00","2.187,00","2.382,00","2.124,00","1,34M","8,71%"
"01.11.2023","2.193,00","2.247,00","2.278,00","2.198,00","1,10M","-2,60%"
"01.10.2023","2.251,50","2.323,00","2.315,00","2.170,00","1,05M","-4,07%"
"01.09.2023","2.347,00","2.236,00","2.340,00","2.178,00","1,08M","6,30%"
"01.08.2023","2.208,00","2.262,00","2.260,00","2.122,00","1,09M","-3,26%"
"01.07.2023","2.282,50","2.155,00","2.277,00","2.130,00","961,68K","6,09%"
"01.06.2023","2.151,50","2.260,00","2.289,00","2.141,50","1,13M","-4,21%"
"01.05.2023","2.246,00","2.360,00","2.353,00","2.221,50","1,13M","-4,67%"
"01.04.2023","2.356,00","2.430,00","2.430,00","2.302,00","899,73K","-2,36%"
"01.03.2023","2.413,00","2.415,00","2.410,00","2.280,00","1,07M","1,69%"
"01.02.2023","2.373,00","2.645,00","2.642,00","2.345,00","922,35K","-10,25%"
"01.01.2023","2.644,00","2.369,00","2.662,00","2.273,00","1,02M","11,19%"
"01.12.2022","2.378,00","2.465,00","2.515,00","2.364,00","719,05K","-4,02%"
"01.11.2022","2.477,50","2.258,00","2.443,00","2.235,00","816,11K","11,50%"
"01.10.2022","2.222,00","2.169,00","2.360,00","2.169,00","951,41K","2,78%"
"01.09.2022","2.162,00","2.300,00","2.327,00","2.103,00","977,52K","-8,35%"
"01.08.2022","2.359,00","2.447,50","2.493,00","2.357,00","886,80K","-5,20%"
"01.07.2022","2.488,50","2.400,00","2.457,00","2.336,00","858,51K","1,76%"
"01.06.2022","2.445,50","2.740,00","2.797,00","2.420,50","917,05K","-12,25%"
"01.05.2022","2.787,00","2.945,00","2.973,00","2.715,00","800,08K","-8,70%"
"01.04.2022","3.052,50","3.499,00","3.497,00","3.044,00","631,08K","-12,56%"
"01.03.2022","3.491,00","3.463,00","3.966,00","3.254,00","1,14M","3,64%"
"01.02.2022","3.368,50","3.049,00","3.445,00","3.028,00","1,12M","11,50%"
"01.01.2022","3.021,00","2.825,00","3.095,00","2.821,00","891,10K","7,60%"
"01.12.2021","2.807,50","2.648,00","2.842,00","2.585,00","875,57K","6,95%"
"01.11.2021","2.625,00","2.732,00","2.734,00","2.522,00","917,51K","-3,37%"
"01.10.2021","2.716,50","2.881,00","3.198,00","2.695,00","1,33M","-4,97%"
"01.09.2021","2.858,50","2.758,00","2.950,00","2.756,00","1,08M","5,17%"
"01.08.2021","2.718,00","2.628,50","2.703,74","2.539,75","810,43K","4,94%"
"01.07.2021","2.590,00","2.501,75","2.620,25","2.412,00","784,74K","2,64%"
"01.06.2021","2.523,50","2.484,01","2.549,00","2.345,75","794,11K","1,63%"
"01.05.2021","2.483,00","2.423,00","2.525,24","2.340,89","949,03K","3,59%"
"01.04.2021","2.397,00","2.209,75","2.414,43","2.194,25","593,93K","8,36%"
"01.03.2021","2.212,00","2.103,38","2.284,00","2.085,63","994,94K","2,67%"
"01.02.2021","2.154,50","1.964,13","2.215,63","1.956,63","745,77K","8,95%"
"01.01.2021","1.977,50","2.025,50","2.049,25","1.953,80","601,92K","-0,10%"
"01.12.2020","1.979,50","2.055,38","2.068,25","1.964,00","679,21K","-3,20%"
