"Datum","Zuletzt","Eröffn.","Hoch","Tief","Vol.","+/- %"
"01.09.2024","16.136,00","16.655,00","16.689,00","15.678,00","","-3,76%"
"01.08.2024","16.766,00","16.564,50","17.157,50","15.957,50","","0,98%"
"01.07.2024","16.604,00","17.375,00","17.515,00","15.540,00","336,33K","-3,97%"
"01.06.2024","17.291,00","19.600,00","19.570,00","17.125,00","310,37K","-12,27%"
"01.05.2024","19.710,00","18.875,00","21.650,00","18.525,00","318,57K","2,45%"
"01.04.2024","19.238,00","17.125,00","19.375,00","17.025,00","402,89K","14,86%"
"01.03.2024","16.749,00","17.450,00","18.440,00","16.550,00","335,64K","-6,41%"
"01.02.2024","17.896,00","16.250,00","17.700,00","15.880,00","271,28K","10,00%"
"01.01.2024","16.269,00","16.800,00","16.790,00","15.950,00","279,08K","-2,01%"
"01.12.2023","16.603,00","16.850,00","16.950,00","16.300,00","200,61K","-0,25%"
"01.11.2023","16.645,00","18.100,00","18.125,00","16.060,00","248,63K","-8,19%"
"01.10.2023","18.130,00","18.950,00","18.875,00","18.055,00","170,96K","-3,02%"
"01.09.2023","18.694,00","20.850,00","20.955,00","18.825,00","189,50K","-7,86%"
"01.08.2023","20.289,00","22.700,00","22.675,00","19.950,00","210,08K","-8,99%"
"01.07.2023","22.293,00","20.600,00","21.900,00","20.405,00","161,89K","8,66%"
"01.06.2023","20.516,00","21.100,00","23.240,00","20.000,00","182,49K","-0,35%"
"01.05.2023","20.588,00","24.350,00","25.150,00","20.540,00","171,49K","-14,99%"
"01.04.2023","24.219,00","23.950,00","25.725,00","22.610,00","128,97K","1,60%"
"01.03.2023","23.838,00","25.300,00","25.250,00","22.100,00","154,24K","-3,86%"
"01.02.2023","24.794,00","30.500,00","30.300,00","24.900,00","105,88K","-18,29%"
"01.01.2023","30.344,00","31.500,00","31.300,00","26.750,00","119,90K","0,99%"
"01.12.2022","30.048,00","27.050,00","31.500,00","26.950,00","90,85K","11,34%"
"01.11.2022","26.987,00","22.950,00","29.690,00","22.800,00","139,40K","23,74%"
"01.10.2022","21.809,00","21.750,00","22.450,00","21.385,00","103,81K","3,33%"
"01.09.2022","21.107,00","20.580,00","24.900,00","20.155,00","150,07K","-1,42%"
"01.08.2022","21.411,00","24.350,00","24.100,00","21.320,00","114,35K","-9,35%"
