"Date","Price","Open","High","Low","Vol.","Change %"
"09/01/2024","72,500.00","75,000.00","76,500.00","70,000.00","","-3.33%"
"08/01/2024","75,000.00","81,500.00","83,000.00","72,000.00","","-7.98%"
"07/01/2024","81,500.00","91,500.00","93,000.00","80,000.00","","-10.93%"
"06/01/2024","91,500.00","103,500.00","105,000.00","90,000.00","","-13.27%"
"05/01/2024","105,500.00","110,500.00","112,000.00","104,000.00","","-4.52%"
"04/01/2024","110,500.00","107,500.00","114,000.00","106,000.00","","2.79%"
"03/01/2024","107,500.00","104,500.00","118,000.00","103,000.00","","5.91%"
"02/01/2024","101,500.00","95,500.00","103,000.00","93,000.00","","6.28%"
"01/01/2024","95,500.00","96,500.00","99,000.00","93,000.00","","-1.04%"
"12/01/2023","96,500.00","112,500.00","115,000.00","94,000.00","","-16.45%"
"11/01/2023","115,500.00","163,500.00","166,000.00","113,000.00","","-29.36%"
"10/01/2023","163,500.00","166,500.00","177,000.00","161,000.00","","-1.80%"
"09/01/2023","166,500.00","201,500.00","204,000.00","164,000.00","","-17.37%"
"08/01/2023","201,500.00","264,500.00","267,000.00","199,000.00","","-23.82%"
"07/01/2023","264,500.00","307,500.00","310,000.00","262,000.00","","-13.98%"
"06/01/2023","307,500.00","297,500.00","315,000.00","295,000.00","","3.36%"
"05/01/2023","297,500.00","177,500.00","305,000.00","175,000.00","","67.61%"
"04/01/2023","177,500.00","223,500.00","226,000.00","163,000.00","","-22.66%"
"03/01/2023","229,500.00","365,500.00","368,000.00","227,000.00","","-38.06%"
"02/01/2023","370,500.00","472,500.00","475,000.00","368,000.00","","-21.92%"
"01/01/2023","474,500.00","519,500.00","522,000.00","472,000.00","","-8.66%"
"12/01/2022","519,500.00","577,500.00","580,000.00","517,000.00","","-10.04%"
"11/01/2022","577,500.00","572,500.00","600,000.00","570,000.00","","2.12%"
"10/01/2022","565,500.00","517,500.00","568,000.00","515,000.00","","10.77%"
"09/01/2022","510,500.00","492,500.00","513,000.00","490,000.00","","3.65%"
"08/01/2022","492,500.00","476,500.00","495,000.00","474,000.00","","3.36%"
"07/01/2022","476,500.00","475,500.00","479,000.00","473,000.00","","0.21%"
"06/01/2022","475,500.00","468,500.00","480,000.00","466,000.00","","1.49%"
"05/01/2022","468,500.00","457,500.00","471,000.00","455,000.00","","1.30%"
"04/01/2022","462,500.00","496,500.00","499,000.00","460,000.00","","-6.85%"
"03/01/2022","496,500.00","483,500.00","500,000.00","481,000.00","","2.69%"
"02/01/2022","483,500.00","382,500.00","486,000.00","380,000.00","","28.08%"
"01/01/2022","377,500.00","277,500.00","380,000.00","275,000.00","","36.04%"
"12/01/2021","277,500.00","200,500.00","280,000.00","198,000.00","","39.80%"
"11/01/2021","198,500.00","192,500.00","201,000.00","190,000.00","","3.12%"
"10/01/2021","192,500.00","178,000.00","195,000.00","177,000.00","","9.38%"
"09/01/2021","176,000.00","120,000.00","177,000.00","119,000.00","","50.43%"
"08/01/2021","117,000.00","91,000.00","118,000.00","90,000.00","","28.57%"
"07/01/2021","91,000.00","87,000.00","92,000.00","86,000.00","","4.60%"
"06/01/2021","87,000.00","89,000.00","90,000.00","86,000.00","","-2.25%"
"05/01/2021","89,000.00","89,000.00","90,000.00","88,000.00","","0.00%"
"04/01/2021","89,000.00","89,000.00","90,000.00","88,000.00","","1.14%"
"03/01/2021","88,000.00","81,500.00","89,000.00","80,500.00","","8.64%"
"02/01/2021","81,000.00","72,000.00","82,000.00","71,000.00","","12.50%"
"01/01/2021","72,000.00","53,000.00","73,000.00","52,000.00","","37.14%"
