"Datum","Zuletzt","Eröffn.","Hoch","Tief","Vol.","+/- %"
"15.09.2024","2.497,00","2.475,00","2.545,50","2.468,00","","1,05%"
"08.09.2024","2.471,00","2.344,00","2.487,50","2.326,50","","5,51%"
"01.09.2024","2.342,00","2.454,00","2.462,00","2.340,00","","-4,29%"
"25.08.2024","2.447,00","2.537,00","2.558,00","2.445,50","","-3,74%"
"18.08.2024","2.542,00","2.372,00","2.553,00","2.368,00","","7,46%"
"11.08.2024","2.365,50","2.299,50","2.373,50","2.290,00","","2,78%"
"04.08.2024","2.301,50","2.254,50","2.330,50","2.224,50","","1,68%"
"28.07.2024","2.263,50","2.293,00","2.327,00","2.208,00","","-1,11%"
"21.07.2024","2.289,00","2.318,00","2.316,00","2.276,00","322,97K","-2,66%"
"14.07.2024","2.351,50","2.462,00","2.467,00","2.368,00","290,66K","-5,22%"
"07.07.2024","2.481,00","2.537,00","2.532,00","2.484,00","180,30K","-2,15%"
"30.06.2024","2.535,50","2.535,00","2.544,50","2.531,00","134,89K","0,44%"
"23.06.2024","2.524,50","2.507,00","2.530,00","2.494,00","147,17K","0,44%"
"16.06.2024","2.513,50","2.497,00","2.508,00","2.481,00","212,11K","-0,16%"
"09.06.2024","2.517,50","2.575,00","2.574,00","2.529,00","232,73K","-2,35%"
"02.06.2024","2.578,00","2.672,00","2.668,00","2.624,00","226,01K","-2,81%"
"26.05.2024","2.652,50","2.705,00","2.740,00","2.704,00","220,18K","-0,36%"
"19.05.2024","2.662,00","2.625,00","2.703,50","2.602,50","361,02K","1,91%"
"12.05.2024","2.612,00","2.550,00","2.597,50","2.538,00","362,12K","3,26%"
"05.05.2024","2.529,50","2.560,00","2.557,50","2.529,00","228,57K","-0,86%"
"28.04.2024","2.551,50","2.570,00","2.576,50","2.545,50","294,94K","-0,70%"
"21.04.2024","2.569,50","2.667,00","2.660,00","2.585,50","384,12K","-3,73%"
"14.04.2024","2.669,00","2.555,00","2.654,50","2.535,00","594,70K","7,02%"
"07.04.2024","2.494,00","2.462,00","2.495,00","2.454,50","411,67K","1,78%"
"31.03.2024","2.450,50","2.370,00","2.439,00","2.363,00","426,97K","4,86%"
"24.03.2024","2.337,00","2.323,00","2.324,00","2.287,00","243,78K","1,21%"
"17.03.2024","2.309,00","2.276,00","2.312,00","2.255,00","403,56K","1,52%"
"10.03.2024","2.274,50","2.248,00","2.271,00","2.243,00","251,04K","1,54%"
"03.03.2024","2.240,00","2.227,00","2.256,00","2.226,00","265,29K","-0,22%"
"25.02.2024","2.245,00","2.187,00","2.223,00","2.179,00","256,56K","2,98%"
"18.02.2024","2.180,00","2.210,00","2.253,00","2.183,00","359,68K","-1,71%"
"11.02.2024","2.218,00","2.217,00","2.232,00","2.216,00","250,32K","0,09%"
"04.02.2024","2.216,00","2.220,00","2.237,00","2.212,00","248,00K","-0,78%"
"28.01.2024","2.233,50","2.254,00","2.270,50","2.245,50","253,90K","-1,80%"
"21.01.2024","2.274,50","2.158,00","2.249,00","2.154,00","348,79K","5,01%"
"14.01.2024","2.166,00","2.208,00","2.205,00","2.164,50","265,03K","-2,41%"
"07.01.2024","2.219,50","2.253,00","2.252,00","2.223,00","260,22K","-2,38%"
"31.12.2023","2.273,50","2.384,00","2.378,00","2.262,00","228,56K","-4,64%"
"24.12.2023","2.384,00","2.348,00","2.382,00","2.346,00","183,92K","2,49%"
"17.12.2023","2.326,00","2.262,00","2.279,00","2.233,00","369,34K","3,49%"
"10.12.2023","2.247,50","2.128,00","2.249,00","2.124,00","412,12K","5,32%"
"03.12.2023","2.134,00","2.190,00","2.188,00","2.140,00","297,59K","-3,40%"
"26.11.2023","2.209,00","2.223,00","2.221,00","2.185,00","289,41K","-0,32%"
"19.11.2023","2.216,00","2.227,00","2.239,00","2.217,00","242,37K","0,41%"
"12.11.2023","2.207,00","2.230,00","2.232,50","2.203,50","263,50K","-0,36%"
"05.11.2023","2.215,00","2.279,00","2.278,00","2.221,00","261,44K","-1,73%"
"29.10.2023","2.254,00","2.260,00","2.257,00","2.238,00","243,73K","1,53%"
"22.10.2023","2.220,00","2.178,00","2.215,00","2.171,50","215,02K","1,76%"
"15.10.2023","2.181,50","2.194,00","2.191,00","2.170,00","212,45K","-0,82%"
"08.10.2023","2.199,50","2.229,00","2.230,00","2.201,00","212,51K","-1,79%"
"01.10.2023","2.239,50","2.323,00","2.315,00","2.233,00","286,76K","-4,58%"
"24.09.2023","2.347,00","2.225,00","2.340,00","2.224,00","292,43K","4,75%"
"17.09.2023","2.240,50","2.209,00","2.247,00","2.205,00","291,81K","2,31%"
"10.09.2023","2.190,00","2.195,00","2.235,00","2.195,00","215,26K","0,30%"
"03.09.2023","2.183,50","2.200,00","2.205,00","2.178,00","202,62K","-2,39%"
"27.08.2023","2.237,00","2.162,00","2.233,50","2.157,00","252,25K","4,02%"
"20.08.2023","2.150,50","2.122,00","2.180,00","2.122,00","231,35K","0,63%"
"13.08.2023","2.137,00","2.149,00","2.171,00","2.139,00","233,98K","-1,77%"
"06.08.2023","2.175,50","2.225,00","2.229,00","2.178,00","250,18K","-2,55%"
"30.07.2023","2.232,50","2.242,00","2.260,00","2.195,00","258,41K","0,47%"
"23.07.2023","2.222,00","2.195,00","2.227,00","2.193,00","198,27K","0,79%"
"16.07.2023","2.204,50","2.245,00","2.244,00","2.186,00","214,50K","-3,16%"
"09.07.2023","2.276,50","2.147,00","2.277,00","2.147,00","292,69K","6,11%"
"02.07.2023","2.145,50","2.155,00","2.156,00","2.130,00","195,43K","-0,28%"
"25.06.2023","2.151,50","2.155,00","2.191,00","2.141,50","253,56K","-1,06%"
"18.06.2023","2.174,50","2.245,00","2.244,00","2.175,00","244,31K","-4,25%"
"11.06.2023","2.271,00","2.237,00","2.269,50","2.234,00","238,38K","0,13%"
"04.06.2023","2.268,00","2.255,00","2.265,50","2.215,00","261,41K","0,20%"
"28.05.2023","2.263,50","2.225,00","2.289,00","2.221,50","235,23K","1,16%"
"21.05.2023","2.237,50","2.260,00","2.260,00","2.226,00","295,14K","-2,01%"
