"Datum","Zuletzt","Eröffn.","Hoch","Tief","Vol.","+/- %"
"17.09.2024","759,00","750,00","765,00","750,00","0,15K","-0,65%"
"16.09.2024","764,00","752,00","773,00","750,00","0,06K","-1,04%"
"13.09.2024","772,00","784,00","784,00","763,00","0,02K","1,18%"
"12.09.2024","763,00","745,00","786,00","745,00","0,21K","2,97%"
"11.09.2024","741,00","747,00","747,00","741,00","0,11K","-0,54%"
"10.09.2024","745,00","745,00","745,00","737,00","0,12K","-0,67%"
"09.09.2024","750,00","760,00","760,00","749,00","0,03K","-1,96%"
"06.09.2024","765,00","755,00","770,00","750,00","0,28K","-0,65%"
"05.09.2024","770,00","738,00","780,00","720,00","0,25K","6,94%"
"04.09.2024","720,00","730,00","730,00","720,00","0,10K","-2,04%"
"03.09.2024","735,00","740,00","760,00","730,00","0,14K","-2,52%"
"30.08.2024","754,00","754,00","754,00","754,00","","-1,44%"
"29.08.2024","765,00","765,00","765,00","765,00","0,00K","-0,91%"
"28.08.2024","772,00","772,00","772,00","772,00","","1,71%"
"27.08.2024","759,00","765,00","765,00","750,00","0,17K","0,00%"
"26.08.2024","759,00","755,00","760,00","750,00","0,07K","1,20%"
"23.08.2024","750,00","740,00","754,00","740,00","0,31K","0,40%"
"22.08.2024","747,00","738,00","755,00","735,00","0,82K","2,75%"
"21.08.2024","727,00","705,00","741,00","705,00","1,31K","3,86%"
"20.08.2024","700,00","704,00","704,00","691,00","0,67K","1,74%"
"19.08.2024","688,00","686,00","690,00","681,00","0,84K","1,03%"
"16.08.2024","681,00","700,00","705,00","678,00","0,97K","-3,27%"
"15.08.2024","704,00","705,00","715,00","700,00","0,35K","-1,26%"
"14.08.2024","713,00","735,00","735,00","712,00","0,23K","-0,97%"
"13.08.2024","720,00","727,00","727,00","720,00","0,52K","-0,69%"
"12.08.2024","725,00","745,00","745,00","725,00","0,41K","-2,68%"
"09.08.2024","745,00","745,00","745,00","745,00","0,03K","0,54%"
"08.08.2024","741,00","740,00","745,00","740,00","0,04K","-0,40%"
"07.08.2024","744,00","748,00","748,00","741,00","0,12K","-0,67%"
"06.08.2024","749,00","750,00","753,00","746,00","0,06K","-0,13%"
"05.08.2024","750,00","765,00","772,00","750,00","0,27K","-0,92%"
"02.08.2024","757,00","757,00","760,00","755,00","0,15K","-1,30%"
"01.08.2024","767,00","784,00","786,00","763,00","0,50K","-2,29%"
"31.07.2024","785,00","770,00","788,00","770,00","0,15K","6,80%"
"30.07.2024","735,00","765,00","766,00","731,00","0,73K","0,00%"
