"Datum","Zuletzt","Eröffn.","Hoch","Tief","Vol.","+/- %"
"17.09.2024","1.121,53","1.084,03","1.125,78","1.080,53","","3,63%"
"16.09.2024","1.082,20","1.075,00","1.086,50","1.065,00","5,68K","1,05%"
"13.09.2024","1.071,00","1.054,00","1.081,50","1.040,50","7,93K","2,12%"
"12.09.2024","1.048,80","1.015,50","1.057,00","1.004,50","9,29K","4,15%"
"11.09.2024","1.007,00","966,00","1.017,00","960,50","9,33K","5,25%"
"10.09.2024","956,80","940,50","968,50","939,00","4,79K","1,90%"
"09.09.2024","939,00","900,50","943,50","900,50","4,98K","4,51%"
"06.09.2024","898,50","934,50","956,50","896,50","6,09K","-4,10%"
"05.09.2024","936,90","929,50","951,50","925,00","4,08K","0,79%"
"04.09.2024","929,60","942,00","945,00","923,00","3,96K","-0,40%"
"03.09.2024","933,30","962,50","977,00","924,50","6,55K","-4,23%"
"02.09.2024","974,53","964,75","976,53","957,78","","1,01%"
"01.09.2024","964,75","965,00","965,00","960,75","","0,20%"
"30.08.2024","962,80","974,50","993,00","956,00","4,82K","-1,36%"
"29.08.2024","976,10","938,50","980,00","936,50","5,01K","3,28%"
"28.08.2024","945,10","945,10","945,10","945,10","","-1,95%"
"27.08.2024","963,90","958,00","976,50","949,50","6,20K","0,14%"
"26.08.2024","962,60","953,00","967,50","945,50","6,01K","1,84%"
"23.08.2024","945,20","919,00","954,50","918,50","7,40K","2,27%"
"22.08.2024","924,20","945,00","952,00","913,50","5,76K","-2,17%"
"21.08.2024","944,70","921,00","964,00","916,00","4,95K","2,70%"
"20.08.2024","919,90","925,00","941,00","914,00","3,21K","-0,64%"
"19.08.2024","925,80","947,50","949,50","910,00","2,77K","-2,63%"
"16.08.2024","950,80","944,00","953,00","934,50","0,72K","0,68%"
"15.08.2024","944,40","925,00","947,50","922,00","0,94K","1,60%"
"14.08.2024","929,50","934,50","948,00","921,50","1,40K","-0,27%"
"13.08.2024","932,00","911,50","939,00","909,00","2,18K","2,65%"
"12.08.2024","907,90","904,50","929,50","899,50","1,69K","0,36%"
"09.08.2024","904,60","916,50","929,50","899,00","1,64K","-1,07%"
"08.08.2024","914,40","873,00","919,00","873,00","1,50K","2,55%"
"07.08.2024","891,70","856,50","897,50","854,50","1,51K","2,93%"
"06.08.2024","866,30","847,50","870,00","832,00","0,88K","4,06%"
"05.08.2024","832,50","889,50","890,00","820,50","1,34K","-6,45%"
"02.08.2024","889,90","908,00","910,00","885,00","0,69K","-1,39%"
