"Datum","Zuletzt","Eröffn.","Hoch","Tief","Vol.","+/- %"
"01.09.2024","91,98","91,98","91,98","91,98","","-6,81%"
"01.08.2024","98,70","98,70","98,70","98,70","","-6,83%"
"01.07.2024","105,94","105,94","105,94","105,94","","-0,54%"
"01.06.2024","106,51","106,51","106,51","106,51","","-9,37%"
"01.05.2024","117,52","117,52","117,52","117,52","","5,96%"
"01.04.2024","110,91","110,91","110,91","110,91","","1,26%"
"01.03.2024","109,53","109,53","109,53","109,53","","-12,28%"
"01.02.2024","124,86","124,86","124,86","124,86","","-7,60%"
"01.01.2024","135,13","135,13","135,13","135,13","","-0,91%"
"01.12.2023","136,37","136,37","136,37","136,37","","4,53%"
"01.11.2023","130,46","130,46","130,46","130,46","","9,71%"
"01.10.2023","118,91","118,91","118,91","118,91","","-1,56%"
"01.09.2023","120,79","120,79","120,79","120,79","","10,41%"
"01.08.2023","109,40","109,40","109,40","109,40","","-2,72%"
"01.07.2023","112,46","112,46","112,46","112,46","","-0,10%"
"01.06.2023","112,57","112,57","112,57","112,57","","7,14%"
"01.05.2023","105,07","105,07","105,07","105,07","","-9,53%"
"01.04.2023","116,14","116,14","116,14","116,14","0,03K","-8,59%"
"01.03.2023","127,06","127,06","127,06","127,06","0,05K","1,04%"
"01.02.2023","125,75","125,75","125,75","125,75","0,10K","1,93%"
"01.01.2023","123,37","123,37","123,37","123,37","","10,86%"
"01.12.2022","111,28","111,28","111,28","111,28","0,03K","19,34%"
"01.11.2022","93,25","93,25","93,25","93,25","","0,89%"
"01.10.2022","92,43","92,43","92,43","92,43","","-5,98%"
