Ticker,Description,Sector
NESN.SW,Nestlé SA,Food
ROG.SW,Roche Holding AG,Pharmacy
NOVN.SW,Novartis International AG,Pharmacy
CFR.SW,Compagnie Financière Richemont SA,Luxury Goods
ZURN.SW,Zurich Insurance Group AG,Insurance
UBSG.SW,UBS Group AG,Banks
ABBN.SW,ABB Ltd,Electrical equipment
LONN.SW,Lonza Group AG,Chemistry
SIKA.SW,Sika AG,Chemistry
ALC.SW,Alcon Inc,Pharmacy
GIVN.SW,Givaudan SA,Chemistry
HOLN.SW,Holcim Limited,Building materials
SCMN.SW,Swisscom AG,Telecommunications
PGHN.SW,Partners Group Holding AG,Private equity
SREN.SW,Swiss Reinsurance Company Ltd,Insurance
SOON.SW,Sonova,Medical devices
GEBN.SW,Geberit AG,Sanitary engineering
SLHN.SW,Swiss Life Holding AG,Insurance
LOGN.SW,Logitech International SA,Computer hardware and software
KNIN.SW,Kuehne + Nagel,Logistics
