Date,High,Low,Open,Close,returns
2024-08-19,16550.0,16555.0,16575.0,16666.0,
2024-08-20,16850.0,16800.0,16800.0,17035.0,2.214086
2024-08-21,16885.0,16900.0,16950.0,16910.0,-0.73378086
2024-08-22,16500.0,16550.0,16625.0,16603.0,-1.8154919
2024-08-23,16650.0,16655.0,16700.0,16758.0,0.9335637
2024-08-27,17060.0,17065.0,17150.0,17136.0,2.2556424
2024-08-28,16835.0,16870.0,16870.0,17019.0,-0.6827712
2024-08-29,16925.0,16930.0,17000.0,17003.0,-0.094014406
2024-08-30,17025.0,17030.0,17050.0,16766.0,-1.3938725
2024-09-02,16640.0,16650.0,16650.0,16625.0,-0.8409858
2024-09-03,16500.0,16520.0,16550.0,16462.0,-0.9804487
2024-09-04,16250.0,16240.0,16300.0,16214.0,-1.5065014
2024-09-05,15980.0,15980.0,16025.0,16078.0,-0.8387804
2024-09-06,15990.0,15990.0,16000.0,15893.0,-1.1506379
2024-09-09,15890.0,15895.0,15925.0,15903.0,0.06291866
2024-09-10,15850.0,15830.0,15900.0,15741.0,-1.0186732
2024-09-11,15950.0,15975.0,16000.0,16112.0,2.3568988
2024-09-12,16100.0,16150.0,16150.0,16136.0,0.148952
2024-09-13,15975.0,15940.0,15950.0,15944.0,-1.1898875
2024-09-16,16330.0,15940.0,15948.0,16323.5,2.3802042
2024-09-17,16400.0,16136.0,16346.0,16136.0,-1.148653
